,x_pixel,y_pixel
C_629,17519,10214
C_630,17013,9635
C_632,8437,15445
C_636,6419,16027
C_637,15005,21241
C_638,17770,9489
C_640,6922,14866
C_645,18531,13115
C_647,15252,15874
C_648,15002,18050
C_649,11714,10655
C_650,8184,14719
C_652,13737,15005
C_654,21055,12822
C_657,13729,6591
C_658,17267,10940
C_659,6673,17912
C_661,10711,17618
C_662,12986,21823
C_665,14240,12393
C_667,9946,9061
C_670,18032,19207
C_671,19289,13839
C_674,8187,18201
C_675,14752,20806
C_678,6417,13996
C_680,8692,17620
C_681,17014,10795
C_685,10455,13702
C_688,17014,10505
C_689,15499,9346
C_691,8690,15589
C_692,8185,15300
C_698,14246,19356
C_700,16005,10506
C_705,6418,15446
C_706,17771,10359
C_708,15757,15873
C_709,12468,7028
C_711,20045,12533
C_714,8937,9642
C_717,16259,12391
C_718,16512,13406
C_721,5913,15157
C_722,10201,11817
C_724,17516,7603
C_726,16265,19644
C_727,19291,15870
C_728,6420,17477
C_729,9448,16314
C_730,7431,18927
C_731,17015,11375
C_734,7171,11239
C_739,20049,17465
C_740,13481,11378
C_741,17770,9199
C_742,16009,15728
C_743,8441,19796
C_745,8694,19941
C_747,9954,18344
C_749,14242,14714
C_750,9953,17184
C_753,10959,12541
C_754,10198,8916
C_756,18281,15581
C_757,14235,7171
C_759,19036,13114
C_760,12975,9638
C_761,20042,9632
C_764,12986,21533
C_765,20802,12677
C_766,10198,8335
C_771,8189,19941
C_773,15750,8620
C_774,5914,16607
C_775,6418,15156
C_776,16769,18773
C_778,14241,13554
C_779,8189,19651
C_783,18534,16596
C_784,8942,15154
C_787,10208,19359
C_788,7427,14285
C_789,6669,13851
C_793,8944,17475
C_794,15000,15729
C_798,8436,14574
C_801,9953,17474
C_803,16258,12101
C_807,16764,12681
C_811,12219,11235
C_813,12977,12249
C_814,8440,18636
C_816,10963,17473
C_818,15759,18484
C_819,16762,10940
C_821,15498,9056
C_822,12480,20663
C_823,13479,8187
C_824,16762,10360
C_827,19542,14564
C_829,10954,7609
C_831,10459,18344
C_832,14234,6301
C_846,11967,10800
C_848,12225,17907
C_851,18781,10939
C_853,8946,20376
C_856,14992,6735
C_857,8690,15879
C_859,16008,14857
C_860,6419,16607
C_862,8431,8482
C_863,17012,7604
C_868,7676,11529
C_870,11462,10800
C_871,13225,6882
C_872,13983,7897
C_875,7927,9063
C_879,17265,8909
C_882,13226,8042
C_887,7431,19217
C_888,13477,6447
C_889,16510,11666
C_890,11712,8914
C_891,11207,8334
C_894,9694,9786
C_897,7173,13270
C_898,15496,6735
C_899,11719,16167
C_902,13238,21678
C_903,11972,16312
C_906,17013,9054
C_908,9704,20520
C_909,15752,10361
C_910,8692,17910
C_911,13731,8332
C_913,14242,15004
C_914,16011,18049
C_916,16509,9925
C_917,7675,9788
C_920,16506,6734
C_921,6671,15591
C_923,12986,21243
C_924,19284,8617
C_926,20804,14998
C_928,7928,10223
C_932,11966,9929
C_937,8945,18925
C_941,16760,8910
C_942,12219,10364
C_948,12467,6448
C_949,11711,7174
C_950,10201,12397
C_951,13491,21532
C_958,18284,18772
C_959,21056,13983
C_960,8437,15735
C_962,9955,18924
C_966,16006,12247
C_967,7175,15301
C_968,15497,7315
C_969,8442,20376
C_970,11966,10219
C_971,19541,13404
C_972,14498,18920
C_973,15255,18775
C_974,12724,11234
C_976,15749,6880
C_977,16253,6589
C_978,9449,18055
C_980,14493,13989
C_986,7932,14865
C_990,14995,10217
C_991,17518,9344
C_995,13734,12104
C_997,20296,10937
C_998,15246,8621
C_1001,18028,15726
C_1002,10452,10511
C_1005,10198,9206
C_1007,13489,19501
C_1008,5659,13561
C_1009,16770,19934
C_1010,13737,14714
C_1011,10455,13412
C_1012,13478,7607
C_1013,16001,6444
C_1014,9700,16749
C_1015,20050,18045
C_1018,14495,15729
C_1020,18534,16886
C_1021,16760,8039
C_1022,17770,8619
C_1025,14498,19210
C_1028,13230,12104
C_1029,13489,19792
C_1030,7171,10369
C_1031,8432,9642
C_1034,11966,10510
C_1037,18529,11374
C_1038,20297,12678
C_1039,14237,9492
C_1042,11468,17473
C_1048,18787,16741
C_1051,12474,13700
C_1053,10714,21390
C_1056,15257,21095
C_1057,5659,13271
C_1060,16012,18339
C_1062,11716,13266
C_1063,13988,13119
C_1064,21057,16013
C_1065,11720,17617
C_1066,14496,17180
C_1072,14238,10362
C_1073,16005,10796
C_1074,7431,19507
C_1075,7927,9643
C_1077,9703,19360
C_1079,20802,12387
C_1081,6923,15446
C_1082,11716,12976
C_1083,11206,7174
C_1084,15502,12537
C_1085,20048,16304
C_1086,19537,8762
C_1088,17265,8329
C_1090,7679,14140
C_1093,19540,13114
C_1095,13480,9638
C_1096,14495,16309
C_1097,19285,9197
C_1099,20296,11227
C_1100,10705,10946
C_1101,18781,10068
C_1102,16014,21240
C_1103,18535,17756
C_1104,7178,18202
C_1105,20046,13984
C_1108,14747,15874
C_1109,10209,20810
C_1111,12219,10944
C_1113,8188,18491
C_1115,17519,11085
C_1116,12723,10364
C_1117,14746,14133
C_1120,12976,10218
C_1124,14747,15584
C_1130,13227,8623
C_1131,12474,13410
C_1133,17013,8764
C_1135,18782,11229
C_1136,11460,8769
C_1138,11975,20083
C_1141,9451,19795
C_1144,18280,15291
C_1145,19544,16885
C_1152,17021,18628
C_1154,19541,13694
C_1156,11213,14717
C_1161,19544,17465
C_1163,19543,16015
C_1165,7675,9498
C_1166,9702,19070
C_1169,18786,16451
C_1173,10960,13702
C_1174,9450,19505
C_1176,19032,9053
C_1177,13991,16890
C_1179,17770,8909
C_1180,9199,20231
C_1181,9704,21100
C_1182,14488,7606
C_1183,15756,15003
C_1185,18022,8183
C_1186,11717,14136
C_1188,15256,19645
C_1189,19286,10938
C_1191,8437,15154
C_1192,15502,12827
C_1193,9199,20521
C_1196,11711,7464
C_1197,16262,16163
C_1199,17271,15292
C_1200,8943,16314
C_1204,11460,8479
C_1205,7683,18201
C_1208,10959,12831
C_1210,16506,7024
C_1212,15751,8911
C_1215,8683,8337
C_1216,14750,19065
C_1219,14742,9492
C_1223,15254,17904
C_1225,8685,9787
C_1227,14242,15294
C_1229,15755,13552
C_1231,9190,10077
C_1232,6417,14286
C_1233,11463,11670
C_1235,9195,16459
C_1237,19039,17176
C_1238,14487,6736
C_1239,18534,16306
C_1240,17264,7749
C_1241,8433,10513
C_1245,15246,9201
C_1246,16511,11956
C_1248,7174,13850
C_1251,14489,8767
C_1252,14997,13118
C_1253,19036,13404
C_1259,8179,9207
C_1261,16514,15727
C_1262,16263,17323
C_1264,14746,14423
C_1267,11711,7754
C_1268,11714,10945
C_1269,19287,11518
C_1273,10461,20955
C_1276,6923,15736
C_1278,12469,8188
C_1279,9946,9641
C_1280,8178,8337
C_1282,8184,15010
C_1284,8188,19071
C_1286,14492,12828
C_1294,20804,14708
C_1295,18527,9343
C_1296,7171,10949
C_1297,20047,15144
C_1298,19036,13984
C_1299,12222,13846
C_1300,17517,8184
C_1301,10956,10220
C_1302,20298,13838
C_1303,16765,13551
C_1305,13482,11959
C_1313,14241,14424
C_1315,7430,18347
C_1316,14496,16890
C_1319,15502,13117
C_1321,14751,19645
C_1326,14744,11812
C_1328,13226,8333
C_1329,20047,15434
C_1330,16763,12391
C_1331,11463,11961
C_1332,17264,8039
C_1333,5912,13706
C_1334,13238,21387
C_1337,13735,12684
C_1340,16766,15292
C_1341,17780,19643
C_1346,10453,11381
C_1348,20301,16449
C_1350,10462,21245
C_1353,15253,16744
