,xpixels,ypixels,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
2679,6625,22075,tumor,a_others,a_others,a_others,a_others,tumor1
2680,18972,7113,tumor,a_others,a_others,a_others,a_others,tumor1
2681,15443,10600,tumor,a_others,a_others,a_others,a_others,tumor2
2682,4095,18306,stroma,a_others,a_others,a_others,a_others,stroma2
2683,13689,18872,tumor,a_others,a_others,a_others,a_others,tumor2
2684,14444,17275,stroma,stroma_1,a_others,stroma,a_others,stroma2
2685,12935,21340,stroma,a_others,a_others,a_others,a_others,stroma1
2686,6879,23090,immune,immune_2,immune_2,a_others,immune,immune
2687,12678,18003,stroma,stroma_1,a_others,stroma,a_others,stroma2
2688,5615,21496,stroma,a_others,a_others,a_others,a_others,stroma1
2689,22525,19874,immune,a_others,a_others,a_others,a_others,immune
2690,11160,16265,stroma,a_others,a_others,a_others,a_others,stroma1
2691,21244,7255,immune,a_others,a_others,a_others,a_others,immune
2692,22275,21470,stroma,a_others,a_others,a_others,a_others,stroma2
2693,9384,10319,tumor,a_others,a_others,a_others,a_others,tumor1
2694,8645,22071,immune,immune_2,immune_2,a_others,immune,immune
2695,11670,19165,tumor,a_others,a_others,a_others,a_others,tumor2
2696,21519,21907,stroma,a_others,a_others,a_others,a_others,stroma2
2697,12174,18874,tumor,a_others,a_others,a_others,a_others,tumor2
2698,5111,22077,tumor,a_others,a_others,a_others,a_others,tumor1
2699,4103,23529,tumor,a_others,a_others,a_others,a_others,tumor1
2700,23013,8848,stroma,a_others,a_others,a_others,a_others,stroma2
2701,8895,20475,immune,immune_2,immune_2,a_others,immune,immune
2702,18991,19880,immune,a_others,a_others,a_others,a_others,immune
2703,8891,18154,tumor,a_others,a_others,a_others,a_others,tumor1
2704,9631,6402,stroma,stroma_2,a_others,a_others,a_others,stroma1
2705,16202,11905,tumor,tumor_5,a_others,a_others,a_others,tumor2
2706,18721,8129,stroma,a_others,a_others,a_others,a_others,stroma2
2707,10137,7271,stroma,a_others,a_others,a_others,a_others,stroma2
2708,18993,21040,stroma,a_others,a_others,a_others,a_others,stroma2
2709,5870,23091,tumor,a_others,a_others,a_others,a_others,tumor2
2710,6618,17142,tumor,tumor_3,a_others,a_others,tumor,tumor1
2711,22269,17118,immune,a_others,a_others,a_others,a_others,immune
2712,5351,13807,tumor,a_others,a_others,a_others,a_others,tumor1
2713,11919,16989,stroma,stroma_1,a_others,stroma,a_others,stroma2
2714,21516,19876,stroma,a_others,a_others,a_others,a_others,stroma2
2715,12155,6108,stroma,a_others,a_others,a_others,a_others,stroma1
2716,15712,21190,stroma,a_others,a_others,a_others,a_others,stroma2
2717,16712,14805,immune,a_others,a_others,a_others,a_others,immune
2718,8138,20912,tumor,a_others,a_others,a_others,a_others,tumor1
2719,18470,9435,immune,a_others,a_others,a_others,a_others,immune
2720,5612,19755,tumor,a_others,a_others,a_others,a_others,tumor1
2721,20762,22053,tumor,a_others,a_others,a_others,a_others,tumor1
2722,7383,21928,immune,immune_2,immune_2,a_others,immune,immune
2723,10640,5820,tumor,a_others,a_others,a_others,a_others,tumor1
2724,16219,22640,stroma,a_others,a_others,a_others,a_others,stroma2
2725,18996,23071,immune,a_others,a_others,a_others,a_others,immune
2726,20998,11752,stroma,a_others,a_others,a_others,a_others,stroma2
2727,19987,10593,tumor,a_others,a_others,a_others,a_others,tumor1
2728,18239,22927,immune,a_others,a_others,a_others,a_others,immune
2729,21764,17119,immune,a_others,a_others,a_others,a_others,immune
2730,9638,11044,tumor,a_others,a_others,a_others,a_others,tumor1
2731,9402,22215,immune,a_others,a_others,a_others,a_others,immune
2732,16446,6246,tumor,a_others,a_others,a_others,a_others,tumor2
2733,14692,14808,stroma,stroma_1,a_others,stroma,a_others,stroma2
2734,18234,20026,stroma,a_others,a_others,a_others,a_others,stroma2
2735,10404,16991,tumor,a_others,a_others,a_others,a_others,tumor1
2736,20751,15089,immune,immune_1,immune_1,a_others,a_others,immune
2737,5606,15693,tumor,tumor_3,a_others,a_others,tumor,tumor1
2738,13946,21918,tumor,a_others,a_others,a_others,a_others,tumor2
2739,4602,19756,tumor,a_others,a_others,a_others,a_others,tumor1
2740,11918,16409,stroma,stroma_1,a_others,stroma,a_others,stroma2
2741,19499,21620,stroma,a_others,a_others,a_others,a_others,stroma2
2742,8631,12787,stroma,a_others,a_others,a_others,a_others,stroma1
2743,21013,21327,tumor,a_others,a_others,a_others,a_others,tumor1
2744,6105,11630,tumor,a_others,a_others,a_others,a_others,tumor2
2745,5349,12647,tumor,a_others,a_others,a_others,a_others,tumor1
2746,14678,5233,immune,a_others,a_others,a_others,a_others,immune
2747,8137,19751,tumor,a_others,a_others,a_others,a_others,tumor1
2748,12424,16988,stroma,stroma_1,a_others,stroma,a_others,stroma2
2749,23267,9573,stroma,a_others,a_others,a_others,a_others,stroma2
2750,20239,10158,immune,a_others,a_others,a_others,a_others,immune
2751,16701,7552,tumor,a_others,a_others,a_others,a_others,tumor2
2752,14446,18726,stroma,stroma_1,a_others,stroma,a_others,stroma2
2753,13173,11619,tumor,tumor_4,a_others,tumor,a_others,tumor2
2754,13672,7846,tumor,a_others,a_others,a_others,a_others,tumor2
2755,21010,19296,stroma,a_others,a_others,a_others,a_others,stroma2
2756,12678,18293,stroma,a_others,a_others,a_others,a_others,stroma1
2757,5609,17724,immune,a_others,a_others,a_others,a_others,immune
2758,21762,15958,stroma,a_others,a_others,a_others,a_others,stroma2
2759,8626,9885,stroma,a_others,a_others,a_others,a_others,stroma1
2760,8637,16849,tumor,a_others,a_others,a_others,a_others,tumor2
2761,18987,17268,tumor,a_others,a_others,a_others,a_others,tumor2
2762,11667,17134,stroma,a_others,a_others,a_others,a_others,stroma1
2763,17462,10017,immune,a_others,a_others,a_others,a_others,immune
2764,14184,12778,immune,a_others,a_others,a_others,a_others,immune
2765,8141,22653,tumor,a_others,a_others,a_others,a_others,tumor1
2766,20749,13929,tumor,a_others,a_others,a_others,a_others,tumor1
2767,15197,15098,immune,a_others,a_others,a_others,a_others,immune
2768,11411,15249,tumor,a_others,a_others,a_others,a_others,tumor2
2769,22023,21326,stroma,a_others,a_others,a_others,a_others,stroma2
2770,17734,22928,immune,a_others,a_others,a_others,a_others,immune
2771,12416,11765,stroma,a_others,a_others,a_others,a_others,stroma1
2772,21517,21036,tumor,a_others,a_others,a_others,a_others,tumor1
2773,12659,5527,tumor,a_others,a_others,a_others,a_others,tumor1
2774,16720,20028,tumor,a_others,a_others,a_others,a_others,tumor2
2775,7379,19607,tumor,a_others,a_others,a_others,a_others,tumor2
2776,12413,9734,tumor,a_others,a_others,a_others,a_others,tumor2
2777,8133,17140,tumor,tumor_3,a_others,a_others,tumor,tumor1
2778,5096,12502,tumor,a_others,a_others,a_others,a_others,tumor1
2779,9377,5387,stroma,stroma_2,a_others,a_others,a_others,stroma1
2780,5616,22076,tumor,a_others,a_others,a_others,a_others,tumor1
2781,21509,15814,stroma,a_others,a_others,a_others,a_others,stroma2
2782,6878,21929,tumor,a_others,a_others,a_others,a_others,tumor1
2783,12684,22355,stroma,a_others,a_others,a_others,a_others,stroma2
2784,10665,22359,tumor,a_others,a_others,a_others,a_others,tumor2
2785,13168,8427,stroma,a_others,a_others,a_others,a_others,stroma1
2786,19481,9723,immune,a_others,a_others,a_others,a_others,immune
2787,21014,21907,immune,a_others,a_others,a_others,a_others,immune
2788,20248,16541,stroma,a_others,a_others,a_others,a_others,stroma2
2789,18741,21476,stroma,a_others,a_others,a_others,a_others,stroma2
2790,12912,6252,tumor,a_others,a_others,a_others,a_others,tumor2
2791,14697,17710,stroma,stroma_1,a_others,stroma,a_others,stroma2
2792,8142,23523,immune,immune_2,immune_2,a_others,immune,immune
2793,16698,6101,stroma,a_others,a_others,a_others,a_others,stroma2
2794,13169,9008,stroma,a_others,a_others,a_others,a_others,stroma1
2795,14437,12923,tumor,tumor_4,a_others,tumor,a_others,tumor2
2796,15700,13646,tumor,tumor_5,a_others,a_others,a_others,tumor2
2797,8118,7855,stroma,stroma_2,a_others,a_others,a_others,stroma1
2798,20751,15379,tumor,a_others,a_others,a_others,a_others,tumor1
2799,11911,11766,tumor,a_others,a_others,a_others,a_others,tumor2
2800,17230,23509,immune,a_others,a_others,a_others,a_others,immune
2801,11663,15103,stroma,stroma_1,a_others,stroma,a_others,stroma2
2802,7612,6695,tumor,a_others,a_others,a_others,a_others,tumor1
2803,19997,16976,immune,immune_1,immune_1,a_others,a_others,immune
2804,11655,9881,tumor,a_others,a_others,a_others,a_others,tumor1
2805,8641,19460,tumor,a_others,a_others,a_others,a_others,tumor1
2806,6625,21494,tumor,a_others,a_others,a_others,a_others,tumor2
2807,19988,11464,tumor,a_others,a_others,a_others,a_others,tumor1
2808,12162,11040,tumor,a_others,a_others,a_others,a_others,tumor2
2809,18724,10160,tumor,tumor_5,a_others,a_others,a_others,tumor2
2810,11669,18585,tumor,a_others,a_others,a_others,a_others,tumor2
2811,8880,10610,tumor,a_others,a_others,a_others,a_others,tumor2
2812,10402,15540,tumor,a_others,a_others,a_others,a_others,tumor1
2813,16209,16547,immune,a_others,a_others,a_others,a_others,immune
2814,6117,19464,tumor,a_others,a_others,a_others,a_others,tumor1
2815,6606,9308,tumor,a_others,a_others,a_others,a_others,tumor1
2816,9882,5386,tumor,a_others,a_others,a_others,a_others,tumor1
2817,18982,14077,immune,a_others,a_others,a_others,a_others,immune
2818,21517,20746,stroma,a_others,a_others,a_others,a_others,stroma2
2819,13676,10458,tumor,a_others,a_others,a_others,a_others,tumor2
2820,19985,9723,stroma,a_others,a_others,a_others,a_others,stroma2
2821,19995,16106,immune,immune_1,immune_1,a_others,a_others,immune
2822,19745,17702,tumor,a_others,a_others,a_others,a_others,tumor1
