,xpixels,ypixels,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
2993,19741,14801,stroma,a_others,a_others,a_others,a_others,stroma2
2994,7113,10758,tumor,a_others,a_others,a_others,a_others,tumor1
2995,16704,9583,tumor,tumor_5,a_others,a_others,a_others,tumor2
2996,16460,15241,stroma,a_others,a_others,a_others,a_others,stroma2
2997,5348,12356,tumor,a_others,a_others,a_others,a_others,tumor2
2998,13683,15100,tumor,tumor_4,a_others,tumor,a_others,tumor2
2999,4345,16710,immune,a_others,a_others,a_others,a_others,immune
3000,20239,10448,immune,a_others,a_others,a_others,a_others,immune
3001,11668,18005,stroma,stroma_1,a_others,stroma,a_others,stroma2
3002,8132,16559,tumor,a_others,a_others,a_others,a_others,tumor2
3003,16210,16837,tumor,tumor_2,a_others,a_others,a_others,tumor2
3004,19743,16251,immune,immune_1,immune_1,a_others,a_others,immune
3005,21266,21472,stroma,a_others,a_others,a_others,a_others,stroma2
3006,4355,22803,immune,a_others,a_others,a_others,a_others,immune
3007,20239,10738,immune,a_others,a_others,a_others,a_others,immune
3008,22255,8414,immune,a_others,a_others,a_others,a_others,immune
