,x_pixel,y_pixel,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
C_157,6925,18347,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_158,6418,14866,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_159,16263,17033,tumor,a_others,a_others,a_others,a_others,tumor_5
C_160,14749,17325,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_161,11718,15587,immune,a_others,a_others,a_others,a_others,immune_2
C_164,16010,16018,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_165,10957,10510,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_166,19040,17756,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_170,18023,9634,immune,immune_1,a_others,a_others,immune,immune_1
C_174,14750,18195,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_175,7174,14430,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_177,8433,10803,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_178,9948,11382,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_179,13995,21242,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_183,16760,8619,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_184,5407,13417,fat,a_others,a_others,a_others,a_others,fat
C_185,6164,13561,fat,a_others,a_others,a_others,a_others,fat
C_186,18537,19497,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_188,16510,10796,immune,immune_1,a_others,a_others,immune,immune_1
C_189,15244,7170,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_190,8941,14284,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_194,14241,14134,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_195,13985,10508,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_197,5914,16027,immune,immune_2,a_others,immune,a_others,immune_2
C_198,13742,20227,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_199,16512,13987,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_203,11211,12976,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_205,15757,16163,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_208,14739,6881,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_209,14238,11233,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_210,11216,17618,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_211,9946,8771,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_213,19032,9343,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_214,18027,14566,tumor,a_others,a_others,a_others,a_others,tumor_5
C_215,13236,19647,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_216,14239,12103,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_217,18278,12970,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_219,6922,14576,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_223,14752,20516,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_224,15255,19355,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_225,16256,9490,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_227,13995,21532,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_232,19790,10067,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_236,9196,16749,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_238,12732,19937,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_239,12977,11379,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_240,6166,15302,immune,immune_2,a_others,immune,a_others,immune_2
C_241,9957,20955,fat,a_others,a_others,a_others,a_others,fat
C_243,11969,13991,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_245,14495,15439,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_246,16007,13697,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_247,13985,9637,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_252,19038,16015,tumor,a_others,a_others,a_others,a_others,tumor_5
C_254,16765,13841,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_256,16010,16308,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_257,15498,8766,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_258,6165,14721,immune,immune_2,a_others,immune,a_others,immune_2
C_261,7931,14285,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_262,13990,15149,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_264,5659,12981,fat,a_others,a_others,a_others,a_others,fat
C_266,18782,11519,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_267,7175,15011,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_268,9948,11092,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_269,18783,13259,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_271,7176,15881,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_272,18529,11084,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_273,18787,17611,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_276,19537,9342,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_278,11723,20228,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_280,15756,15293,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_283,14243,16455,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_285,18031,18627,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_286,15506,17179,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_287,7680,15300,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_289,10452,10801,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_292,11213,14427,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_293,6918,9644,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_297,15254,18194,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_298,19040,17466,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_301,10958,12251,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_302,14739,6591,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_305,10708,14137,immune,a_others,a_others,a_others,a_others,immune_2
C_306,13477,6737,immune,a_others,a_others,a_others,a_others,immune_3
C_309,16759,7169,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_311,19796,16450,tumor,a_others,a_others,a_others,a_others,tumor_5
C_312,15751,9201,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_313,12972,6737,immune,a_others,a_others,a_others,a_others,immune_3
C_317,16008,14567,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_319,13983,7607,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_321,17014,9925,immune,immune_1,a_others,a_others,immune,immune_1
C_323,19539,11663,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_324,10206,17909,fat,a_others,a_others,a_others,a_others,fat
C_325,18276,10069,immune,immune_1,a_others,a_others,immune,immune_1
C_326,13731,7752,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_327,10954,7899,immune,a_others,a_others,a_others,a_others,immune_3
C_328,7679,14430,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_329,9694,9206,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_332,11715,11525,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_333,7423,10224,immune,a_others,a_others,a_others,a_others,immune_3
C_334,15253,17034,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_335,19795,15579,tumor,a_others,a_others,a_others,a_others,tumor_5
C_336,8945,19215,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_339,12228,20518,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_340,18274,8618,immune,immune_1,a_others,a_others,immune,immune_1
C_342,17011,7024,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_343,18785,15580,tumor,a_others,a_others,a_others,a_others,tumor_5
C_345,17769,8038,immune,immune_1,a_others,a_others,immune,immune_1
C_347,12216,8043,immune,a_others,a_others,a_others,a_others,immune_3
C_352,17012,7894,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_354,19793,13549,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_360,7427,14575,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_361,7937,20087,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_368,19289,14129,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_369,16254,6879,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_371,20299,14709,tumor,a_others,a_others,a_others,a_others,tumor_5
C_372,14999,15439,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_373,19033,9923,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_374,19797,17610,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_375,8946,19506,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_376,7680,15880,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_380,8691,17330,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_381,17265,9199,immune,immune_1,a_others,a_others,immune,immune_1
C_383,19037,14565,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_386,14491,11668,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_387,8188,19361,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_390,15255,19065,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_391,15749,7460,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_393,18530,12244,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_397,14993,8766,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_399,10199,9496,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_400,16258,11231,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_401,6925,18057,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_403,10967,21535,fat,a_others,a_others,a_others,a_others,fat
C_406,7929,11674,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_408,20800,10937,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_410,12226,18487,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_415,6919,11094,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_416,6671,16171,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_417,19538,10213,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_418,12470,9639,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_421,19793,13258,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_424,13989,14859,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_430,7684,19362,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_431,9947,9931,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_432,18275,8908,immune,immune_1,a_others,a_others,immune,immune_1
C_434,13987,11958,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_435,15759,18194,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_438,14246,19646,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_439,7935,18636,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_441,9947,10801,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_442,15498,8476,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_443,13743,21387,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_444,20049,16885,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_446,16508,9345,immune,immune_1,a_others,a_others,immune,immune_1
C_447,10966,21244,fat,a_others,a_others,a_others,a_others,fat
C_448,17266,9489,immune,immune_1,a_others,a_others,immune,immune_1
C_450,20553,16304,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_452,14745,12683,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_455,18535,18046,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_456,14997,12247,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_457,11973,17762,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_458,16769,19063,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_461,13992,18050,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_462,9702,18780,fat,a_others,a_others,a_others,a_others,fat
C_464,13730,6882,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_465,15496,6445,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_466,12467,6157,immune,a_others,a_others,a_others,a_others,immune_3
C_467,7936,18926,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_468,8936,8481,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_471,16508,8765,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_472,7430,18056,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_473,11211,12396,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_474,14494,14569,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_475,20046,14274,tumor,a_others,a_others,a_others,a_others,tumor_5
C_476,6669,14141,immune,immune_2,a_others,immune,a_others,immune_2
C_477,18281,15871,tumor,a_others,a_others,a_others,a_others,tumor_5
C_479,15499,9636,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_485,16262,15583,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_487,15249,12682,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_488,15503,14278,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_492,17776,15581,tumor,a_others,a_others,a_others,a_others,tumor_5
C_496,17769,8328,immune,immune_1,a_others,a_others,immune,immune_1
C_497,9196,17039,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_498,11963,6738,tumor,a_others,a_others,a_others,a_others,tumor_8
C_500,15507,18629,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_501,8941,13994,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_502,18282,17321,tumor,a_others,a_others,a_others,a_others,tumor_5
C_505,11967,11670,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_506,10201,12107,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_508,14490,9927,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_510,8942,15444,immune,immune_2,a_others,immune,a_others,immune_2
C_514,18280,15000,tumor,a_others,a_others,a_others,a_others,tumor_5
C_518,8439,17765,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_520,12479,19212,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_521,14743,10942,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_523,8180,9788,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_524,11464,13121,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_526,16004,9926,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_528,15247,10362,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_529,8941,14864,immune,immune_2,a_others,immune,a_others,immune_2
C_530,14743,11232,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_532,16002,7315,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_534,9947,10511,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_539,13734,11813,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_540,14744,12103,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_543,14494,14279,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_547,8693,19071,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_548,12215,6303,immune,a_others,a_others,a_others,a_others,immune_3
C_549,18284,19352,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_551,20551,14563,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_552,7680,15590,immune,immune_2,a_others,immune,a_others,immune_2
C_555,20550,13403,tumor,a_others,a_others,a_others,a_others,tumor_5
C_562,16761,9490,immune,immune_1,a_others,a_others,immune,immune_1
C_563,19539,11373,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_564,15759,17904,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_565,9947,10221,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_566,7678,12979,immune,immune_2,a_others,immune,a_others,immune_2
C_567,14744,12393,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_568,10453,11671,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_570,14497,18340,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_581,19033,9633,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_582,15002,18340,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_583,15001,17469,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_585,20299,14418,tumor,a_others,a_others,a_others,a_others,tumor_5
C_586,20805,15578,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_588,15504,15438,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_590,12216,7173,tumor,a_others,a_others,a_others,a_others,tumor_8
C_591,20044,11953,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_595,7175,14720,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_596,6420,17767,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_598,13732,9493,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_600,9198,19650,fat,a_others,a_others,a_others,a_others,fat
C_601,9956,20375,fat,a_others,a_others,a_others,a_others,fat
C_605,21055,13402,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_610,8693,19361,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_611,10450,8770,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_613,19040,18046,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_614,10198,8625,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_615,9443,10802,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_617,14247,21096,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_621,19797,17320,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_624,12480,20083,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_629,17519,10214,immune,immune_1,a_others,a_others,immune,immune_1
C_630,17013,9635,immune,immune_1,a_others,a_others,immune,immune_1
C_632,8437,15445,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_636,6419,16027,immune,immune_2,a_others,immune,a_others,immune_2
C_637,15005,21241,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_638,17770,9489,immune,immune_1,a_others,a_others,immune,immune_1
C_640,6922,14866,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_645,18531,13115,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_647,15252,15874,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_648,15002,18050,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_649,11714,10655,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_650,8184,14719,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_652,13737,15005,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_654,21055,12822,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_657,13729,6591,immune,a_others,a_others,a_others,a_others,immune_3
C_658,17267,10940,immune,immune_1,a_others,a_others,immune,immune_1
C_659,6673,17912,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_661,10711,17618,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_662,12986,21823,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_665,14240,12393,necrosis,a_others,a_others,a_others,a_others,necrosis_1
C_667,9946,9061,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_670,18032,19207,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_671,19289,13839,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_674,8187,18201,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_675,14752,20806,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_678,6417,13996,immune,immune_2,a_others,immune,a_others,immune_2
C_680,8692,17620,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_681,17014,10795,immune,immune_1,a_others,a_others,immune,immune_1
